Cite Key,Title,Authors,Year,Publication Date,Journal,Citation Count,Citations/Year,DOI,URL
Li21,Screen Use and Mental Health Symptoms in Canadian Children and Youth During the COVID-19 Pandemic,Xuedi Li; Leigh M. Vanderloo; Charles D. G. Keown-Stoneman; K. Cost; A. Charach; J. Maguire; S. Monga; J. Crosbie; C. Burton; E. Anagnostou; S. Georgiades; R. Nicolson; Elizabeth Kelley; M. Ayub; D. Korczak; C. Birken,2021,2021-12-01,JAMA Network Open,118,25.4,10.1001/jamanetworkopen.2021.40875,https://doi.org/10.1001/jamanetworkopen.2021.40875
Lim22,Psychological and Emotional Effects of Digital Technology on Digitods (14–18 Years): A Systematic Review,P. Limone; G. Toto,2022,2022-07-07,Frontiers in Psychology,19,4.7,10.3389/fpsyg.2022.938965,https://doi.org/10.3389/fpsyg.2022.938965
Liu22,Time Spent on Social Media and Risk of Depression in Adolescents: A Dose–Response Meta-Analysis,Mingli Liu; Kimberly E. Kamper-DeMarco; J Zhang; Jia Xiao; Daifeng Dong; Peng Xue,2022,2022-04-24,International Journal of Environmental Research and Public Health,138,32.4,10.3390/ijerph19095164,https://doi.org/10.3390/ijerph19095164
Liv21,The outcomes of gaining digital skills for young people’s lives and wellbeing: A systematic evidence review,S. Livingstone; G. Mascheroni; M. Stoilova,2021,2021-09-13,New Media & Society,194,39.8,10.1177/14614448211043189,https://doi.org/10.1177/14614448211043189
Lop26,Effect of Social Media Constraints on Mental Health: A Systematic Review and Meta-Analysis of Experiments,M. Lopes; K. Branje; A. David; A. Gennara; J. Haidt; Z. Rausch; N. Greb; A. Aslam; J. Lebwohl; Jake Chaput; G. Goldfield,2026,2026-06-02,,0,0.0,10.64898/2026.06.01.26354614,https://doi.org/10.64898/2026.06.01.26354614
Lu22,Adolescent Addiction to Short Video Applications in the Mobile Internet Era,Lihong Lu; Meiyan Liu; Binchao Ge; Zijin Bai; Ziqi Liu,2022,2022-05-10,Frontiers in Psychology,83,19.7,10.3389/fpsyg.2022.893599,https://doi.org/10.3389/fpsyg.2022.893599
Mag24,Harmful compared to what? The problem of gaming and ambiguous causal questions.,Kristoffer Magnusson; Fredrik Johansson; Andrew K. Przybylski,2024,2024-05-02,Addiction,9,4.0,10.1111/add.16516,https://doi.org/10.1111/add.16516
Mah22,Assessing the effects of acute reductions in mobile device social media use on anxiety and sleep.,Tamsin Mahalingham; Joel A. Howell; P. Clarke,2022,2022-09-01,Journal of behavior therapy and experimental psychiatry,15,3.8,10.1016/j.jbtep.2022.101791,https://doi.org/10.1016/j.jbtep.2022.101791
Man15,"Problematic digital gaming behavior and its relation to the psychological, social and physical health of Finnish adolescents and young adults",N. Männikkö; J. Billieux; M. Kääriäinen,2015,2015-12-01,Journal of Behavioral Addictions,220,20.6,10.1556/2006.4.2015.040,https://doi.org/10.1556/2006.4.2015.040
Mar20,Social anxiety and Internet gaming disorder: The role of motives and metacognitions,C. Marino; Natale Canale; A. Vieno; G. Caselli; L. Scacchi; M. Spada,2020,2020-07-23,Journal of Behavioral Addictions,105,17.5,10.1556/jba-9-617,https://doi.org/10.1556/jba-9-617
Mar24b,Digital Detox and Well-Being.,L. Marciano; Sanmit Jindal; K. Viswanath,2024,2024-09-17,Pediatrics,24,12.9,10.1542/peds.2024-066142,https://doi.org/10.1542/peds.2024-066142
Mas18,Digital Parenting. The Challenges for Families in the Digital Age,G. Mascheroni; C. Ponte; A. Jorge,2018,2018-11-10,,75,9.7,,https://www.semanticscholar.org/paper/e10ffb44ce41dfc0d31b570fd90cfdec67fce777
Mcd17,Technoference: Parent Distraction with Technology and Associations with Child Behavior Problems,Brandon T. McDaniel; Jenny S. Radesky,2017,2017-05-10,Child development,538,58.4,10.1111/cdev.12822,https://doi.org/10.1111/cdev.12822
Mcd19,The internet and children's psychological wellbeing.,Emily McDool; P. Powell; Jennifer Roberts; K. Taylor,2019,2019-12-13,Journal of health economics,159,24.0,10.1016/j.jhealeco.2019.102274,https://doi.org/10.1016/j.jhealeco.2019.102274
Mcl19,Remaining connected in the face of cyberbullying: Why social connectedness is important for mental health,L. McLoughlin; B. Spears; C. Taddeo; D. Hermens,2019,2019-06-01,Psychology in the Schools,61,8.5,10.1002/PITS.22232,https://doi.org/10.1002/PITS.22232
Mei20,"Computer-Mediated Communication, Social Media, and Mental Health: A Conceptual and Empirical Meta-Review",Adrian Meier; L. Reinecke,2020,2020-04-06,Communication Research,408,64.7,10.1177/0093650220958224,https://doi.org/10.1177/0093650220958224
Mie22,"Korean regulation of the Shutdown Law (셧다운제), and the issue of minors using electronic games and social media",Dominik Damian Mielewczyk,2022,2022-12-21,Gdańskie Studia Azji Wschodniej,0,0.0,10.4467/23538724gs.22.046.17018,https://doi.org/10.4467/23538724gs.22.046.17018
Mie22b,Rozważania nad prawem i zwyczajem w systemie prawa kontynentalnego,Dominik Damian Mielewczyk,2022,2022-06-09,Studia Prawnicze KUL,1,0.2,10.31743/sp.12335,https://doi.org/10.31743/sp.12335
Mor26,My Disconnected World: A Study on Students’ Perceptions of Mobile Phone Ban and Digital Well-Being in Urban and Rural Schools,Franciely Pereira Moreira; Danielli Araújo Lima,2026,2026-01-29,International Journal of Changes in Education,0,0.0,10.47852/bonviewijce62027593,https://doi.org/10.47852/bonviewijce62027593
Myt08,Prevalence and correlates of excessive Internet use among youth in Singapore.,S. Mythily; Shijia Qiu; M. Winslow,2008,2008-01-15,"Annals of the Academy of Medicine, Singapore",142,7.7,10.47102/annals-acadmedsg.v37n1p9,https://doi.org/10.47102/annals-acadmedsg.v37n1p9
Naz00,Freedom with the net.,L. Nazarko,2000,2000-08-16,Nursing standard (Royal College of Nursing (Great Britain) : 1987),148,5.7,10.7748/NS.14.48.22.S31,https://doi.org/10.7748/NS.14.48.22.S31
Nes15,Using Social Media for Social Comparison and Feedback-Seeking: Gender and Popularity Moderate Associations with Depressive Symptoms,J. Nesi; M. Prinstein,2015,2015-04-23,Journal of abnormal child psychology,664,59.0,10.1007/s10802-015-0020-0,https://doi.org/10.1007/s10802-015-0020-0
Nik21,The touch-screen generation: Trends in Dutch parents’ perceptions of young children’s media use from 2012–2018,P. Nikken,2021,2021-08-03,Communications,6,1.2,10.1515/commun-2020-0028,https://doi.org/10.1515/commun-2020-0028
Odg20,"Adolescent Mental Health in the Digital Age: Facts, Fears and Future Directions",C. Odgers; Michaeline R Jensen,2020,2020-01-17,"Journal of child psychology and psychiatry, and allied disciplines",880,134.8,10.1111/jcpp.13190,https://doi.org/10.1111/jcpp.13190
Orb19b,"Screens, Teens, and Psychological Well-Being: Evidence From Three Time-Use-Diary Studies",Amy C. Orben; Andrew K. Przybylski,2019,2019-04-02,Psychological Science,340,46.4,10.1177/0956797619830329,https://doi.org/10.1177/0956797619830329
Orb19d,The association between adolescent well-being and digital technology use,Amy C. Orben; Andrew K. Przybylski,2019,2019-01-14,Nature Human Behaviour,1142,151.6,10.1038/s41562-018-0506-1,https://doi.org/10.1038/s41562-018-0506-1
Orb20,"Teenagers, screens and social media: a narrative review of reviews and key studies",Amy C. Orben,2020,2020-01-10,Social Psychiatry and Psychiatric Epidemiology,563,86.0,10.1007/s00127-019-01825-4,https://doi.org/10.1007/s00127-019-01825-4
Orb20b,Reply to: Underestimating digital media harm,Amy C. Orben; Andrew K. Przybylski,2020,2020-04-01,Nature human behaviour,23,3.6,10.1038/s41562-020-0840-y,https://doi.org/10.1038/s41562-020-0840-y
Orb22,Windows of developmental sensitivity to social media,Amy C. Orben; Andrew K. Przybylski; S. Blakemore; R. Kievit,2022,2022-03-28,Nature Communications,281,64.8,10.1038/s41467-022-29296-3,https://doi.org/10.1038/s41467-022-29296-3
Pan23,Time spent on social media among the least influential factors in adolescent mental health: preliminary results from a panel network analysis,M. Panayiotou; Louise Black; Parise Carmichael-Murphy; P. Qualter; Neil Humphrey,2023,2023-05-01,Nature Mental Health,53,16.4,10.1038/s44220-023-00063-7,https://doi.org/10.1038/s44220-023-00063-7
Pat22,Digital self-harm and suicidality among adolescents.,Justin W. Patchin; S. Hinduja; Ryan C. Meldrum,2022,2022-07-10,Child and adolescent mental health,30,7.4,10.1111/camh.12574,https://doi.org/10.1111/camh.12574
Per20b,"Impact of Problematic Smartphone Use on Mental Health of Adolescent Students: Association with Mood, Symptoms of Depression, and Physical Activity",F. S. Pereira; G. Bevilacqua; D. Coimbra; A. Andrade,2020,2020-06-22,"Cyberpsychology, Behavior, and Social Networking",106,17.4,10.1089/cyber.2019.0257,https://doi.org/10.1089/cyber.2019.0257
Pie25,Smartphone screen time reduction improves mental health: a randomized controlled trial,C. Pieh; E. Humer; Andreas Hoenigl; Julia Schwab; Doris Mayerhofer; R. Dale; Katja Haider,2025,2025-02-21,BMC Medicine,41,28.7,10.1186/s12916-025-03944-z,https://doi.org/10.1186/s12916-025-03944-z
